project_id,project_status,project_name,street_number,street_name,street_type,zip_code,block,lot,city_analysis_neighborhood,planning_neighborhood,lead_agency,program_area,project_area,project_type,housing_tenure,estimated_actual_construction_start_date,project_lead_sponsor,planning_case_number,planning_entitlements,entitlement_approval,building_permit_number,project_units,affordable_units,market_rate_units,affordable,sro_units,studio_units,_1bd_units,_2bd_units,_3bd_units,_4bd_units,_5_bd_units,mobility_units,manager_units,manager_unit_s_type,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,latitude,longitude,location,estimated_construction_completion,bedrooms_to_be_determined,project_owner,project_co_sponsor
2018-047,(4) Site Work Permit Issued,937-949 Clay St,937-949,Clay,St,94108.0,224,32,Chinatown,Chinatown,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,2021-04-13T00:00:00.000,Chinatown Community Development Center,,,,202212218894,70,69,1,99.0,68,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,37.7939158,-122.4084984,"{
  ""location"": {
    ""latitude"": ""37.7939158"",
    ""longitude"": ""-122.4084984""
  }
}",,,,
2023-005,(2) Predevelopment Feasibility,629 Post,629,Post,St,94102.0,305,32,Tenderloin,Downtown/Civic Center,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,Swords to Plowshares,,,,,62,62,0,100.0,62,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,37.7881,-122.40995,"{
  ""location"": {
    ""latitude"": ""37.7881"",
    ""longitude"": ""-122.40995""
  }
}",,,,
2021-015,(4) Site Work Permit Issued,936 Geary,936,Geary,St,94109.0,693,9,Tenderloin,Downtown/Civic Center,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,2022-01-08T00:00:00.000,,2022-008244PRL,,,202208221011,31,31,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.786274,-122.4187205,"{
  ""location"": {
    ""latitude"": ""37.786274"",
    ""longitude"": ""-122.4187205""
  }
}",,,,
2023-019,(2) Predevelopment Feasibility,1130 Filbert,1130,Filbert,St,94109.0,94,7,Russian Hill,Russian Hill,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,4,4,0,100.0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,37.80049,-122.41817,"{
  ""location"": {
    ""latitude"": ""37.80049"",
    ""longitude"": ""-122.41817""
  }
}",,,,
2021-013,(4) Site Work Permit Issued,139 Dore,139,Dore,St,94103.0,3519,60,South of Market,South of Market,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,"Conard House, Inc.",,,,8612724,6,6,0,100.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37.7729774,-122.4116719,"{
  ""location"": {
    ""latitude"": ""37.7729774"",
    ""longitude"": ""-122.4116719""
  }
}",,,,
2022-007,(2) Predevelopment Feasibility,375 14th St,375,14th,St,94103.0,3547,018B,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,2022-003455PRL,,,,16,16,0,100.0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7679557,-122.4216406,"{
  ""location"": {
    ""latitude"": ""37.7679557"",
    ""longitude"": ""-122.4216406""
  }
}",,,,
2023-003,(2) Predevelopment Feasibility,40-42 Sycamore,40-42,Sycamore,St,94110.0,3576,68,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,Mission Economic Development Agency,,,,,5,5,0,100.0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76284,-122.42036,"{
  ""location"": {
    ""latitude"": ""37.76284"",
    ""longitude"": ""-122.42036""
  }
}",,,,
2023-001,(2) Predevelopment Feasibility,3661 19th St,3661,19th,St,94110.0,3598,75,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,Mission Economic Development Agency,,,,,12,12,0,100.0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,37.75975,-122.42492,"{
  ""location"": {
    ""latitude"": ""37.75975"",
    ""longitude"": ""-122.42492""
  }
}",2024-06-28T00:00:00.000,,,
2018-050,(2) Predevelopment Feasibility,1049 Market,1049,Market,St,94103.0,3703,67,South of Market,South of Market,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,2022-12-01T00:00:00.000,Tenderloin Housing Clinic,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7812365,-122.4111989,"{
  ""location"": {
    ""latitude"": ""37.7812365"",
    ""longitude"": ""-122.4111989""
  }
}",,,,
2023-020,(2) Predevelopment Feasibility,528 Natoma,549,Holloway,Ave,94112.0,3726,61,South of Market,South of Market,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,4,4,0,100.0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,37.77973,-122.40852,"{
  ""location"": {
    ""latitude"": ""37.77973"",
    ""longitude"": ""-122.40852""
  }
}",,,,
2021-021,(5) First Construction Document Issued,1140-1142 Florida,1140-1142,Florida,St,94110.0,4207,6,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,202206025444,2,2,0,100.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37.753641,-122.41043,"{
  ""location"": {
    ""latitude"": ""37.753641"",
    ""longitude"": ""-122.41043""
  }
}",,,,
2016-026,(1) Preliminary Phase,"HPSY, Block 1 (Ownership)",,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,2021-07-01T00:00:00.000,,Not Applicable,,,,50,6,44,12.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,37.72949706,-122.3702246,"{
  ""location"": {
    ""latitude"": ""37.72949706"",
    ""longitude"": ""-122.3702246""
  }
}",2022-12-23T00:00:00.000,6.0,,
2014-008,(5) First Construction Document Issued,MIRA Podium,,,,94105.0,,,Financial District/South Beach,Financial District,OCII,Limited Equity Program,Transbay,New Construction,Ownership,2017-05-25T00:00:00.000,,Not Applicable,,,,76,76,0,100.0,0,0,42,19,15,0,0,0,0,0,76,0,0,0,0,0,0,37.789696,-122.3916959,"{
  ""location"": {
    ""latitude"": ""37.789696"",
    ""longitude"": ""-122.3916959""
  }
}",2020-02-01T00:00:00.000,,,
2016-017,(4) Site Work Permit Issued,"Block 48, Phase 3 (Blocks H, I, K, L)",,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,2022-03-01T00:00:00.000,,Not Applicable,,,,70,10,60,14.0,0,0,6,4,0,0,0,0,0,0,10,0,0,0,0,0,0,37.7282288,-122.3791714,"{
  ""location"": {
    ""latitude"": ""37.7282288"",
    ""longitude"": ""-122.3791714""
  }
}",2023-09-01T00:00:00.000,,,
2016-125,(2) Predevelopment Feasibility,CPN-Block 11a,,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,2025-02-01T00:00:00.000,,,,,,422,21,401,5.0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,37.71433471,-122.3837133,"{
  ""location"": {
    ""latitude"": ""37.71433471"",
    ""longitude"": ""-122.3837133""
  }
}",,,,
2016-126,(3) Design with Entitlements Approved,CPN-Block 2a,,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,2023-07-01T00:00:00.000,,,,2018-03-20T00:00:00.000,,130,7,123,5.0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,37.7154215,-122.3856277,"{
  ""location"": {
    ""latitude"": ""37.7154215"",
    ""longitude"": ""-122.3856277""
  }
}",,,,
2014-008a,(5) First Construction Document Issued,MIRA Tower,160,Folsom,St,94105.0,3740,30,Financial District/South Beach,Financial District,OCII,Limited Equity Program,Transbay,New Construction,Ownership,2017-05-25T00:00:00.000,,Not Applicable,,,201406259481,316,80,236,25.0,0,0,30,45,5,0,0,0,0,0,80,0,0,0,0,0,0,37.7904035,-122.3915567,"{
  ""location"": {
    ""latitude"": ""37.7904035"",
    ""longitude"": ""-122.3915567""
  }
}",,,,
2016-127,(2) Predevelopment Feasibility,CPS-Block 6a,99,Harney,Way,94124.0,5000,33,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,2023-07-01T00:00:00.000,,,,,201712277403,128,13,115,10.0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,37.711111,-122.3864271,"{
  ""location"": {
    ""latitude"": ""37.711111"",
    ""longitude"": ""-122.3864271""
  }
}",,,,
2016-128,(3) Design with Entitlements Approved,CPS-Block 8a,95,Harney,Way,94124.0,5000,34,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,2023-07-01T00:00:00.000,,,,2017-05-16T00:00:00.000,201712277404,127,13,114,10.0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,37.711111,-122.3864271,"{
  ""location"": {
    ""latitude"": ""37.711111"",
    ""longitude"": ""-122.3864271""
  }
}",,,,
2016-129,(3) Design with Entitlements Approved,CP-9a South,89,Harney,Way,94124.0,5000,35,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,2023-07-01T00:00:00.000,,,,,201712297625,124,13,111,10.0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,37.711111,-122.3864271,"{
  ""location"": {
    ""latitude"": ""37.711111"",
    ""longitude"": ""-122.3864271""
  }
}",2023-12-23T00:00:00.000,,,
2016-093,(5) First Construction Document Issued,Mission Bay South Block 9A,400,China Basin,St,94158.0,8719,5,Mission Bay,South of Market,OCII,Limited Equity Program,Mission Bay,New Construction,Ownership,2022-04-15T00:00:00.000,Curtis Development,Not Applicable,,,202103166613,148,148,0,100.0,0,0,50,63,35,0,0,7,0,0,148,0,0,0,0,0,0,37.7720725,-122.3885705,"{
  ""location"": {
    ""latitude"": ""37.7720725"",
    ""longitude"": ""-122.3885705""
  }
}",,,,
2016-081,(5) First Construction Document Issued,"Block 48, Phase 1 (Blocks A, B, F, G, J)",898,La Salle,Ave,94124.0,4591A,77,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,2020-04-01T00:00:00.000,,Not Applicable,,2015-03-03T00:00:00.000,201603141951,174,25,149,14.0,0,0,9,15,1,0,0,0,0,0,25,0,0,0,0,0,0,37.7280824,-122.3737082,"{
  ""location"": {
    ""latitude"": ""37.7280824"",
    ""longitude"": ""-122.3737082""
  }
}",,,,
2016-058,(5) First Construction Document Issued,"HPSY I, Block 52 (Inclusionary)",11,Jerrold,Ave,94124.0,4591C,216,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,2020-07-01T00:00:00.000,,Not Applicable,,2014-06-07T00:00:00.000,201910033486,77,9,68,12.0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7272087,-122.3694421,"{
  ""location"": {
    ""latitude"": ""37.7272087"",
    ""longitude"": ""-122.3694421""
  }
}",,,,
2016-047,(5) First Construction Document Issued,"Block 48, Phase 2 (Blocks M, N1, N2, O, P)",869,La Salle,Ave,94124.0,4591D,5,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,2021-04-01T00:00:00.000,Lennar,Not Applicable,,2015-03-03T00:00:00.000,201602179819,87,11,76,13.0,0,0,3,7,0,0,0,0,0,0,11,0,0,0,0,0,0,37.7280824,-122.3737082,"{
  ""location"": {
    ""latitude"": ""37.7280824"",
    ""longitude"": ""-122.3737082""
  }
}",,1.0,,
2016-086,(5) First Construction Document Issued,"Block 48, Phase 4 (Blocks D, E, Q)",989,Oakdale,Ave,94124.0,4591D,108,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,2022-12-01T00:00:00.000,,Not Applicable,,2015-03-03T00:00:00.000,201604144801,73,10,63,14.0,0,0,6,4,0,0,0,0,0,0,10,0,0,0,0,0,0,37.7282288,-122.3791714,"{
  ""location"": {
    ""latitude"": ""37.7282288"",
    ""longitude"": ""-122.3791714""
  }
}",,,,
2016-100,(1) Preliminary Phase,"HPSY II-CP, Block 4B",,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,2029-06-30T00:00:00.000,,Not Applicable,,,,90,89,1,99.0,0,0,0,0,0,0,0,0,1,0,89,0,0,0,0,0,0,37.72873834,-122.3658935,"{
  ""location"": {
    ""latitude"": ""37.72873834"",
    ""longitude"": ""-122.3658935""
  }
}",1930-12-22T00:00:00.000,89.0,,
2020-020,(2) Predevelopment Feasibility,Balboa Reservoir Building B,,,,94112.0,,,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2024-01-01T00:00:00.000,,,,,,92,92,0,100.0,0,0,25,41,27,0,0,0,1,2bd,0,0,0,0,0,0,0,,,"{
  ""location"": null
}",2026-06-01T00:00:00.000,,,
2006-002,(7) On-Hold / Planning Approval Expired,Midtown Park Apartments,1415,Scott,St,94115.0,,,Western Addition,Western Addition,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2020-01-01T00:00:00.000,,2014.0563,,,,139,139,0,100.0,0,0,23,55,61,0,0,0,0,0,139,0,0,0,0,0,0,37.7831685,-122.4380095,"{
  ""location"": {
    ""latitude"": ""37.7831685"",
    ""longitude"": ""-122.4380095""
  }
}",2022-01-01T00:00:00.000,,,
2019-029,(2) Predevelopment Feasibility,1939 Market,,,,,,,Castro/Upper Market,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2024-11-15T00:00:00.000,Mercy Housing CA,,,,,187,185,2,99.0,0,106,80,1,0,0,0,28,2,"1BR, 2BR",0,185,0,40,0,40,0,,,"{
  ""location"": null
}",2026-09-15T00:00:00.000,,,
2020-014,(1) Preliminary Phase,Treasure Island E1.2 - CHP,,,,94130.0,,,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,Mercy Housing CA,,,,,100,99,1,99.0,0,50,49,0,0,0,0,0,1,2 bd,0,99,0,0,0,0,0,,,"{
  ""location"": null
}",,,,
2016-090,(1) Preliminary Phase,Mission Bay South 4 East,,,,94158.0,,,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,2021-12-01T00:00:00.000,,Not Applicable,,,,34,33,1,97.0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,37.772435,-122.3900887,"{
  ""location"": {
    ""latitude"": ""37.772435"",
    ""longitude"": ""-122.3900887""
  }
}",2023-12-01T00:00:00.000,33.0,,
2016-096,(1) Preliminary Phase,"HPSY II-CP, Block 7",,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,2024-04-01T00:00:00.000,,Not Applicable,,,,60,59,1,98.0,0,0,0,0,0,0,0,0,1,0,59,0,0,0,0,0,0,37.71648001,-122.3872751,"{
  ""location"": {
    ""latitude"": ""37.71648001"",
    ""longitude"": ""-122.3872751""
  }
}",,59.0,,
2016-097,(1) Preliminary Phase,Transbay Block 12,,,,94105.0,,,Financial District/South Beach,South of Market,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,2027-12-31T00:00:00.000,,,,,,80,79,1,99.0,0,0,0,0,0,0,0,0,1,0,79,0,0,0,0,0,0,37.78431875,-122.3947255,"{
  ""location"": {
    ""latitude"": ""37.78431875"",
    ""longitude"": ""-122.3947255""
  }
}",2029-06-23T00:00:00.000,79.0,,
2020-019,(1) Preliminary Phase,Balboa Reservoir Building A,,,,94112.0,,,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2024-01-01T00:00:00.000,,,,,,181,179,2,99.0,0,18,44,71,47,0,0,0,2,2bd; 3bd,181,0,0,0,0,0,0,0.0,0.0,"{
  ""location"": {
    ""latitude"": ""0.0"",
    ""longitude"": ""0.0""
  }
}",,,,
2016-089,(2) Predevelopment Feasibility,Transbay Block 2 East,,,,94105.0,,,Financial District/South Beach,South of Market,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,2024-05-01T00:00:00.000,,,,,,184,182,2,99.0,0,17,76,54,37,0,0,28,2,2bd,142,0,0,40,0,40,0,37.78940059,-122.3924064,"{
  ""location"": {
    ""latitude"": ""37.78940059"",
    ""longitude"": ""-122.3924064""
  }
}",2026-05-15T00:00:00.000,,,
1982-009,(5) First Construction Document Issued,Swiss American Hotel,,,,94133.0,,,North Beach,North Beach,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2017-12-01T00:00:00.000,Chinatown Community Development Center,2016-013224PRJ,,,,66,65,1,98.0,65,0,0,0,0,0,0,0,1,SRO,0,0,0,0,0,0,0,37.7981205,-122.4060914,"{
  ""location"": {
    ""latitude"": ""37.7981205"",
    ""longitude"": ""-122.4060914""
  }
}",2019-06-30T00:00:00.000,,Chinatown Community Development Center,
2016-001,(7) On-Hold / Planning Approval Expired,111 Jones Street Apartments,111,Jones,St,94102.0,,,Tenderloin,Downtown/Civic Center,SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,Mercy Housing CA,Not Applicable,,,9114028S,108,108,0,100.0,0,8,64,16,20,0,0,0,0,0,108,0,0,0,0,0,0,37.78223,-122.41244,"{
  ""location"": {
    ""latitude"": ""37.78223"",
    ""longitude"": ""-122.41244""
  }
}",,,111 Jones Associates,
2016-057,(1) Preliminary Phase,101 Hyde,,,,94102.0,,,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,Not Yet Available,,,,85,84,1,99.0,0,0,0,0,0,0,0,0,1,0,84,0,0,0,0,0,0,37.7818595,-122.4158888,"{
  ""location"": {
    ""latitude"": ""37.7818595"",
    ""longitude"": ""-122.4158888""
  }
}",,84.0,,
2023-002,(1) Preliminary Phase,Treasure Island IC4.3,,,,,,,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,The John Stewart Company,,,,,100,99,1,99.0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,,,"{
  ""location"": null
}",,,,Catholic Charities
2016-098,(1) Preliminary Phase,"HPSY II-CP, Block 2B",,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,2028-12-31T00:00:00.000,,Not Applicable,,,,130,129,1,99.0,0,0,0,0,0,0,0,0,1,0,129,0,0,0,0,0,0,37.71598266,-122.3851199,"{
  ""location"": {
    ""latitude"": ""37.71598266"",
    ""longitude"": ""-122.3851199""
  }
}",,129.0,,
2016-088,(3) Design with Entitlements Approved,Transbay Block 2 West (Senior),,,,94105.0,,,Financial District/South Beach,South of Market,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,2024-02-09T00:00:00.000,,,,,,151,150,1,99.0,0,39,111,1,0,0,0,76,1,2bd,0,150,0,30,0,30,0,37.78912663,-122.3927523,"{
  ""location"": {
    ""latitude"": ""37.78912663"",
    ""longitude"": ""-122.3927523""
  }
}",2026-01-15T00:00:00.000,,,
1987-001,(7) On-Hold / Planning Approval Expired,Coleridge Park Homes,190,Coleridge,St,94110.0,,,Bernal Heights,Bernal Heights,MOHCD/SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2021-01-15T00:00:00.000,,,,,,49,49,0,100.0,0,2,43,4,0,0,0,0,1,1bd,1,48,0,0,0,0,0,37.7431787,-122.4202893,"{
  ""location"": {
    ""latitude"": ""37.7431787"",
    ""longitude"": ""-122.4202893""
  }
}",2022-06-01T00:00:00.000,,,
2016-099,(1) Preliminary Phase,"HPSY II-CP, Block 6B",,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,2025-12-31T00:00:00.000,,Not Applicable,,,,105,104,1,99.0,0,0,0,0,0,0,0,0,1,0,104,0,0,0,0,0,0,37.71240103,-122.3824582,"{
  ""location"": {
    ""latitude"": ""37.71240103"",
    ""longitude"": ""-122.3824582""
  }
}",2027-06-24T00:00:00.000,104.0,,
2017-046,(5) First Construction Document Issued,180 Jones (Land Dedication Site),,,,94102.0,,,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2022-05-27T00:00:00.000,,2020-003840PRJ,,,,70,69,1,99.0,0,70,0,0,0,0,0,70,1,studio,0,0,0,35,0,35,0,37.78282592,-122.4121551,"{
  ""location"": {
    ""latitude"": ""37.78282592"",
    ""longitude"": ""-122.4121551""
  }
}",2024-01-29T00:00:00.000,,,
2020-018,(2) Predevelopment Feasibility,Balboa Reservoir Building E,,,,,,,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,2023-09-25T00:00:00.000,BRIDGE Housing,2018-007883PHA-03,File Number 200423,,202207289451,128,126,2,98.0,0,0,56,40,32,0,0,20,2,2bd,128,0,0,0,0,0,0,,,"{
  ""location"": null
}",2026-04-24T00:00:00.000,,,
1982-001a,(5) First Construction Document Issued,Throughline Scattered Sites - Tower Hotel,1527,Grant,Ave,94133.0,103,4,North Beach,North Beach,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,2022-08-15T00:00:00.000,Chinatown Community Development Center,2020-009877PRJ,,,201809140179,33,33,0,100.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.801052,-122.4078219,"{
  ""location"": {
    ""latitude"": ""37.801052"",
    ""longitude"": ""-122.4078219""
  }
}",,,,
